filename,label,fold,genre_blues,genre_classical,genre_country,genre_disco,genre_hiphop,genre_jazz,genre_metal,genre_pop,genre_reggae,genre_rock,spec_name
pop.00015.wav,pop,8,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00015.jpg
reggae.00013.wav,reggae,5,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00013.jpg
blues.00098.wav,blues,18,1,0,0,0,0,0,0,0,0,0,/content/Imgs/blues.00098.jpg
pop.00022.wav,pop,4,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00022.jpg
rock.00026.wav,rock,9,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00026.jpg
metal.00013.wav,metal,2,0,0,0,0,0,0,1,0,0,0,/content/Imgs/metal.00013.jpg
reggae.00012.wav,reggae,9,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00012.jpg
classical.00020.wav,classical,6,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00020.jpg
jazz.00082.wav,jazz,18,0,0,0,0,0,1,0,0,0,0,/content/Imgs/jazz.00082.jpg
metal.00082.wav,metal,15,0,0,0,0,0,0,1,0,0,0,/content/Imgs/metal.00082.jpg
reggae.00038.wav,reggae,12,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00038.jpg
reggae.00052.wav,reggae,18,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00052.jpg
classical.00094.wav,classical,3,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00094.jpg
jazz.00024.wav,jazz,17,0,0,0,0,0,1,0,0,0,0,/content/Imgs/jazz.00024.jpg
classical.00053.wav,classical,1,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00053.jpg
blues.00031.wav,blues,2,1,0,0,0,0,0,0,0,0,0,/content/Imgs/blues.00031.jpg
hiphop.00089.wav,hiphop,17,0,0,0,0,1,0,0,0,0,0,/content/Imgs/hiphop.00089.jpg
country.00056.wav,country,4,0,0,1,0,0,0,0,0,0,0,/content/Imgs/country.00056.jpg
country.00063.wav,country,8,0,0,1,0,0,0,0,0,0,0,/content/Imgs/country.00063.jpg
disco.00092.wav,disco,16,0,0,0,1,0,0,0,0,0,0,/content/Imgs/disco.00092.jpg
classical.00032.wav,classical,7,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00032.jpg
rock.00003.wav,rock,8,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00003.jpg
disco.00068.wav,disco,7,0,0,0,1,0,0,0,0,0,0,/content/Imgs/disco.00068.jpg
classical.00036.wav,classical,5,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00036.jpg
hiphop.00052.wav,hiphop,13,0,0,0,0,1,0,0,0,0,0,/content/Imgs/hiphop.00052.jpg
metal.00039.wav,metal,1,0,0,0,0,0,0,1,0,0,0,/content/Imgs/metal.00039.jpg
rock.00011.wav,rock,3,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00011.jpg
classical.00079.wav,classical,4,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00079.jpg
country.00032.wav,country,13,0,0,1,0,0,0,0,0,0,0,/content/Imgs/country.00032.jpg
rock.00032.wav,rock,16,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00032.jpg
reggae.00007.wav,reggae,12,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00007.jpg
rock.00050.wav,rock,6,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00050.jpg
rock.00008.wav,rock,3,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00008.jpg
jazz.00046.wav,jazz,19,0,0,0,0,0,1,0,0,0,0,/content/Imgs/jazz.00046.jpg
pop.00088.wav,pop,11,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00088.jpg
rock.00043.wav,rock,9,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00043.jpg
pop.00057.wav,pop,15,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00057.jpg
pop.00054.wav,pop,0,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00054.jpg
reggae.00064.wav,reggae,3,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00064.jpg
reggae.00085.wav,reggae,10,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00085.jpg
country.00015.wav,country,16,0,0,1,0,0,0,0,0,0,0,/content/Imgs/country.00015.jpg
blues.00071.wav,blues,2,1,0,0,0,0,0,0,0,0,0,/content/Imgs/blues.00071.jpg
disco.00013.wav,disco,16,0,0,0,1,0,0,0,0,0,0,/content/Imgs/disco.00013.jpg
country.00086.wav,country,8,0,0,1,0,0,0,0,0,0,0,/content/Imgs/country.00086.jpg
classical.00082.wav,classical,17,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00082.jpg
disco.00084.wav,disco,16,0,0,0,1,0,0,0,0,0,0,/content/Imgs/disco.00084.jpg
classical.00031.wav,classical,3,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00031.jpg
country.00061.wav,country,13,0,0,1,0,0,0,0,0,0,0,/content/Imgs/country.00061.jpg
reggae.00039.wav,reggae,8,0,0,0,0,0,0,0,0,1,0,/content/Imgs/reggae.00039.jpg
metal.00019.wav,metal,16,0,0,0,0,0,0,1,0,0,0,/content/Imgs/metal.00019.jpg
blues.00091.wav,blues,7,1,0,0,0,0,0,0,0,0,0,/content/Imgs/blues.00091.jpg
pop.00064.wav,pop,5,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00064.jpg
disco.00007.wav,disco,9,0,0,0,1,0,0,0,0,0,0,/content/Imgs/disco.00007.jpg
pop.00040.wav,pop,7,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00040.jpg
metal.00060.wav,metal,8,0,0,0,0,0,0,1,0,0,0,/content/Imgs/metal.00060.jpg
hiphop.00019.wav,hiphop,0,0,0,0,0,1,0,0,0,0,0,/content/Imgs/hiphop.00019.jpg
disco.00001.wav,disco,15,0,0,0,1,0,0,0,0,0,0,/content/Imgs/disco.00001.jpg
rock.00076.wav,rock,2,0,0,0,0,0,0,0,0,0,1,/content/Imgs/rock.00076.jpg
classical.00025.wav,classical,6,0,1,0,0,0,0,0,0,0,0,/content/Imgs/classical.00025.jpg
pop.00073.wav,pop,13,0,0,0,0,0,0,0,1,0,0,/content/Imgs/pop.00073.jpg
blues.00029.wav,blues,15,1,0,0,0,0,0,0,0,0,0,/content/Imgs/blues.00029.jpg
